epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
54,,219,,,,,,1.0,1.0,0.7394713759422302,1.0,1.0,,,,,
,0.001,220,,,,,,,,,,,,,,,
55,,223,,,,,,,,,,,0.5333333015441895,0.49801167845726013,2.157149314880371,0.5293859839439392,0.5505847930908203
55,,223,,,,,,1.0,1.0,0.7366781830787659,1.0,1.0,,,,,
,0.001,224,,,,,,,,,,,,,,,
56,,227,,,,,,,,,,,0.5,0.3739682734012604,2.25216007232666,0.3670634925365448,0.4246031641960144
56,,227,,,,,,1.0,1.0,0.738446831703186,1.0,1.0,,,,,
,0.001,228,,,,,,,,,,,,,,,
57,,231,,,,,,,,,,,0.5333333015441895,0.4143008291721344,2.2566769123077393,0.40542328357696533,0.4629630148410797
57,,231,,,,,,1.0,1.0,0.7232452034950256,1.0,1.0,,,,,
,0.001,232,,,,,,,,,,,,,,,
58,,235,,,,,,,,,,,0.6000000238418579,0.4991746246814728,2.1955933570861816,0.48847219347953796,0.5569444894790649
58,,235,,,,,,1.0,1.0000001192092896,0.7215387225151062,1.0000001192092896,1.0000001192092896,,,,,
,0.001,236,,,,,,,,,,,,,,,
59,,239,,,,,,,,,,,0.6666666865348816,0.5400277972221375,2.1179964542388916,0.541638970375061,0.5972222685813904
59,,239,,,,,,1.0,1.0,0.7144328951835632,1.0,1.0,,,,,
,0.001,240,,,,,,,,,,,,,,,
60,,243,,,,,,,,,,,0.6333333253860474,0.49169448018074036,2.0878336429595947,0.46913889050483704,0.573055624961853
60,,243,,,,,,1.0,1.0,0.716119647026062,1.0,1.0,,,,,
,0.001,244,,,,,,,,,,,,,,,
61,,247,,,,,,,,,,,0.5666666626930237,0.4309599697589874,2.0601048469543457,0.420767217874527,0.4859788715839386
61,,247,,,,,,1.0,1.0,0.7261192798614502,1.0,1.0,,,,,
,0.001,248,,,,,,,,,,,,,,,
62,,251,,,,,,,,,,,0.46666666865348816,0.38938891887664795,2.0742383003234863,0.3837500214576721,0.45222222805023193
62,,251,,,,,,1.0,1.0,0.7159742712974548,1.0,1.0,,,,,
,0.001,252,,,,,,,,,,,,,,,
63,,255,,,,,,,,,,,0.6333333253860474,0.5576106905937195,1.98239004611969,0.56330406665802,0.6099414825439453
63,,255,,,,,,0.9913793206214905,0.9823529720306396,0.7290600538253784,0.9803922176361084,0.9852941036224365,,,,,
,0.001,256,,,,,,,,,,,,,,,
64,,259,,,,,,,,,,,0.6000000238418579,0.5270844101905823,2.1004652976989746,0.5293859839439392,0.5929824709892273
64,,259,,,,,,1.0,1.0,0.7270506620407104,1.0,1.0,,,,,
,0.001,260,,,,,,,,,,,,,,,
65,,263,,,,,,,,,,,0.6000000238418579,0.5270844101905823,2.0641610622406006,0.5293859839439392,0.5929824709892273
65,,263,,,,,,1.0,1.0,0.7177954316139221,1.0,1.0,,,,,
,0.001,264,,,,,,,,,,,,,,,
66,,267,,,,,,,,,,,0.6333333253860474,0.4875132441520691,2.0447654724121094,0.47447091341018677,0.547354519367218
66,,267,,,,,,1.0,1.0,0.711825966835022,1.0,1.0,,,,,
,0.001,268,,,,,,,,,,,,,,,
67,,271,,,,,,,,,,,0.5333333611488342,0.45498746633529663,2.177569627761841,0.43669593334198,0.5257309675216675
67,,271,,,,,,1.0,1.0,0.7159345746040344,1.0,1.0,,,,,
,0.001,272,,,,,,,,,,,,,,,
68,,275,,,,,,,,,,,0.5333333015441895,0.41709277033805847,2.253385066986084,0.40219298005104065,0.48274850845336914
68,,275,,,,,,1.0,1.0,0.7136440873146057,1.0,1.0,,,,,
,0.001,276,,,,,,,,,,,,,,,
69,,279,,,,,,,,,,,0.5666666626930237,0.466952383518219,2.038362741470337,0.4643055498600006,0.5086111426353455
69,,279,,,,,,1.0,1.0,0.7101758122444153,1.0,1.0,,,,,
,0.001,280,,,,,,,,,,,,,,,
70,,283,,,,,,,,,,,0.5,0.42575398087501526,2.071326971054077,0.40388888120651245,0.5086110830307007
70,,283,,,,,,1.0,1.0,0.7264177799224854,1.0,1.0,,,,,
,0.001,284,,,,,,,,,,,,,,,
71,,287,,,,,,,,,,,0.46666666865348816,0.3718758821487427,2.0884881019592285,0.36654040217399597,0.41414138674736023
